activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,pass_qc,path
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1921010100-1930123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1921010100-1930123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1981010100-1990123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1981010100-1990123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1951010100-1960123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1951010100-1960123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1991010100-2000123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1991010100-2000123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,2001010100-2010123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.2001010100-2010123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1941010100-1950123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1941010100-1950123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1961010100-1970123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1961010100-1970123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1971010100-1980123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1971010100-1980123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily,,,,slp,1931010100-1940123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily/ts/6hr/10yr/atmos_4xdaily.1931010100-1940123123.slp.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1991010100-2000123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1991010100-2000123123.precip.nc
